template,language,backend,size_bytes,baseline_ms,conc_throughput_req_s,conc_avg_ms,conc_p50_ms,conc_p95_ms,conc_max_ms,conc_ok,conc_fail
invoice,ko,gotenberg,12774,252,7.902,492,495,579,608,8,0
invoice,ko,weasyprint,12774,4383,0.227,14303,17249,17909,18029,8,0
invoice,ko,reactpdf,4199,208,10.599,376,354,524,524,8,0
invoice,ja,gotenberg,12826,203,7.512,507,498,546,570,8,0
invoice,ja,weasyprint,12826,4652,0.194,16414,19412,21296,21859,8,0
invoice,ja,reactpdf,4369,282,6.247,639,617,859,860,8,0
invoice,en,gotenberg,12450,190,6.499,600,597,648,682,8,0
invoice,en,weasyprint,12450,4072,0.246,13373,15495,16929,16987,8,0
invoice,en,reactpdf,4085,177,8.637,462,458,536,536,8,0
nested-basic,ko,gotenberg,5653,190,8.577,435,398,505,535,8,0
nested-basic,ko,weasyprint,5653,3828,0.286,11251,13456,14429,14531,8,0
nested-basic,ja,gotenberg,5689,159,9.418,400,391,427,466,8,0
nested-basic,ja,weasyprint,5689,6868,0.229,14337,16878,17977,18717,8,0
nested-basic,en,gotenberg,5501,79,20.392,184,181,209,210,8,0
nested-basic,en,weasyprint,5501,96,7.710,448,382,644,655,8,0
nested-deep,ko,gotenberg,13652,190,8.442,453,437,495,520,8,0
nested-deep,ko,weasyprint,13652,3850,0.269,12630,12961,16919,16938,8,0
nested-deep,ja,gotenberg,13907,198,7.187,429,363,672,682,8,0
nested-deep,ja,weasyprint,13907,3459,0.327,9983,12018,12380,12419,8,0
nested-deep,en,gotenberg,13271,76,24.637,151,149,170,171,8,0
nested-deep,en,weasyprint,13271,334,7.109,456,549,561,575,8,0
nested-split,ko,gotenberg,14359,143,11.781,316,333,351,371,8,0
nested-split,ko,weasyprint,14359,3252,0.332,9755,11930,12109,12162,8,0
nested-split,ja,gotenberg,14555,161,12.414,309,313,323,323,8,0
nested-split,ja,weasyprint,14555,3846,0.298,10898,13146,13357,13450,8,0
nested-split,en,gotenberg,13912,87,22.840,168,162,189,191,8,0
nested-split,en,weasyprint,13912,768,2.295,1450,1585,1724,1899,8,0
nested-projects,ko,gotenberg,21696,143,11.814,320,318,336,359,8,0
nested-projects,ko,weasyprint,21696,3645,0.290,11209,13764,13829,13868,8,0
nested-projects,ja,gotenberg,22041,168,11.974,321,329,355,372,8,0
nested-projects,ja,weasyprint,22041,3822,0.278,11723,14244,14555,14557,8,0
nested-projects,en,gotenberg,21043,86,22.546,172,165,188,218,8,0
nested-projects,en,weasyprint,21043,350,2.739,1231,1295,1643,1657,8,0
nested-stress,ko,gotenberg,26554,153,12.361,298,290,342,368,8,0
nested-stress,ko,weasyprint,26554,4915,0.147,23233,24311,30711,31213,8,0
nested-stress,ja,gotenberg,26899,243,6.972,536,555,591,599,8,0
nested-stress,ja,weasyprint,26899,6510,0.142,22325,22918,32305,32567,8,0
nested-stress,en,gotenberg,25847,110,17.733,211,218,223,227,8,0
nested-stress,en,weasyprint,25847,640,1.822,1830,1907,2311,2466,8,0
