conc,template,language,backend,size_bytes,baseline_ms,conc_throughput_req_s,conc_avg_ms,conc_p50_ms,conc_p95_ms,conc_max_ms,conc_ok,conc_fail
1,invoice,ko,gotenberg,12774,736,8.285,120,120,127,127,16,0
1,invoice,ja,gotenberg,12826,219,5.716,174,171,191,202,16,0
1,invoice,en,gotenberg,12450,150,9.291,107,103,123,134,16,0
2,invoice,ko,gotenberg,12774,153,10.802,183,176,213,240,16,0
2,invoice,ja,gotenberg,12826,199,8.194,236,230,290,348,16,0
2,invoice,en,gotenberg,12450,110,11.116,174,121,540,616,16,0
4,invoice,ko,gotenberg,12774,190,12.894,306,299,399,483,32,0
4,invoice,ja,gotenberg,12826,282,10.703,361,354,458,497,32,0
4,invoice,en,gotenberg,12450,140,15.295,210,189,259,681,32,0
8,invoice,ko,gotenberg,12774,177,13.398,581,541,817,943,64,0
8,invoice,ja,gotenberg,12826,558,10.702,725,648,1171,1540,64,0
8,invoice,en,gotenberg,12450,172,22.508,343,324,464,519,64,0
16,invoice,ko,gotenberg,12774,193,11.849,1296,1191,2155,2462,128,0
16,invoice,ja,gotenberg,12826,217,10.386,1474,1465,2319,3544,128,0
16,invoice,en,gotenberg,12450,134,18.642,824,783,1215,1942,128,0
1,invoice,ko,weasyprint,12774,4245,0.207,4822,4243,4314,13845,16,0
1,invoice,ja,weasyprint,12826,4621,0.218,4597,4590,4696,4783,16,0
1,invoice,en,weasyprint,12450,3947,0.260,3850,3826,3938,4101,16,0
2,invoice,ko,weasyprint,12774,4219,0.236,8227,8478,8658,8672,16,0
2,invoice,ja,weasyprint,12826,4540,0.220,8793,9062,9247,9319,16,0
2,invoice,en,weasyprint,12450,3856,0.264,7352,7554,7741,7766,16,0
4,invoice,ko,weasyprint,12774,4164,0.219,17457,16958,26440,26481,32,0
4,invoice,ja,weasyprint,12826,4550,0.221,17226,18013,18358,18477,32,0
4,invoice,en,weasyprint,12450,3738,0.236,16247,15160,24520,24795,32,0
8,invoice,ko,weasyprint,12774,4285,0.234,32360,34192,34518,34734,64,0
8,invoice,ja,weasyprint,12826,4547,0.218,34593,36716,37148,37242,64,0
8,invoice,en,weasyprint,12450,4050,0.239,31583,30982,40780,41042,64,0
16,invoice,ko,weasyprint,12774,5698,0.229,65961,68290,77763,78388,128,0
16,invoice,ja,weasyprint,12826,4685,0.211,70710,73950,80304,84536,128,0
16,invoice,en,weasyprint,12450,3878,0.238,63080,63213,80057,80182,128,0
